fname,tottime_16,tottime_32,tottime_64,tottime_128
_run_once,143.66989,50.28866,35.24118,35.46064
_run,49.40354,28.75335,27.10322,28.76072
<method 'run' of '_contextvars.Context' objects>,104.59152,138.56676,148.35402,122.82107
_read_ready__get_buffer,62.2625,35.13081,29.82865,32.22028
buffer_updated,61.52892,33.51167,26.86567,27.61424
_do_read,70.55235,42.35978,36.75064,35.86947
_do_read__copied,175.63982,130.46891,115.30074,112.9427
<method 'read' of '_ssl._SSLSocket' objects>,1518.56725,1333.23007,1279.30473,1216.96477
select,73.42633,20.60347,11.51966,9.20645
<method 'poll' of 'select.epoll' objects>,1345.90008,93.7655,13.03996,13.28506
<method 'join' of 'bytes' objects>,839.72411,1077.56603,1125.72688,978.51363
<method 'recv_into' of '_socket.socket' objects>,567.27752,468.73378,474.25158,499.10448
data_received,273.38329,232.80432,227.37307,228.91059
readany,37.46323,20.85823,18.35038,17.22457
<method 'write' of '_ssl.MemoryBIO' objects>,164.59953,182.57457,269.48436,296.54896
_read_nowait,37.60973,19.71207,14.80317,13.53989
_wait,48.84946,26.68047,23.89656,21.97341
call_soon,29.64532,19.96526,16.72647,16.4882
_read_nowait_chunk,44.74421,26.74452,25.98091,27.20394
_process_outgoing,35.84324,20.70225,16.14131,15.84956
_call_soon,38.81022,26.6936,22.12812,20.97557
_control_ssl_reading,24.31284,15.929,14.88916,15.46367
<method 'append' of 'list' objects>,30.75462,23.34643,20.61496,20.2596
